# m J error
1000 5 8.118164e-02
1000 10 1.836412e-01
1000 20 3.867565e-01
1000 30 3.915921e-01
1000 50 4.227063e-01
1000 100 7.332204e-01
5000 5 2.476262e-02
5000 10 8.931346e-03
5000 20 1.432917e-02
5000 30 3.085865e-02
5000 50 4.322287e-02
5000 100 1.759077e-01
10000 5 1.863505e-02
10000 10 5.060722e-03
10000 20 3.496545e-03
10000 30 5.527466e-03
10000 50 1.378389e-02
10000 100 4.156263e-02
50000 5 1.587574e-02
50000 10 3.221193e-03
50000 20 1.223917e-03
50000 30 5.105393e-04
50000 50 3.204289e-04
50000 100 8.290734e-04
100000 5 1.489949e-02
100000 10 3.014989e-03
100000 20 1.046350e-03
100000 30 3.714734e-04
100000 50 1.795581e-04
100000 100 1.373265e-04
200000 5 1.450996e-02
200000 10 2.772936e-03
200000 20 9.442562e-04
200000 30 3.187122e-04
200000 50 1.251494e-04
200000 100 7.269801e-05
