# m J error_mean error_std
1000 5 2.058158e-01 9.838271e-04
1000 8 2.629910e-01 1.286901e-04
1000 20 5.278753e-01 7.451694e-04
1000 30 4.026507e-01 3.969128e-04
1000 60 4.827632e-01 5.192426e-04
1000 135 1.027478e+00 2.040943e-03
5000 5 4.638149e-02 1.139810e-04
5000 8 4.881208e-02 7.875483e-05
5000 20 8.829387e-02 2.115051e-04
5000 30 1.642981e-01 7.606144e-04
5000 60 2.289478e-01 1.151059e-04
5000 135 3.146151e-01 7.195776e-04
10000 5 4.068012e-02 1.243452e-04
10000 8 3.265782e-02 1.034680e-04
10000 20 3.220601e-02 4.645859e-05
10000 30 4.551967e-02 3.633016e-05
10000 60 8.418797e-02 2.307620e-04
10000 135 2.407862e-01 1.158190e-03
20000 5 3.891022e-02 7.013384e-05
20000 8 2.910672e-02 9.845243e-05
20000 20 1.326967e-02 2.329184e-05
20000 30 1.928470e-02 2.510749e-05
20000 60 5.363854e-02 1.864912e-04
20000 135 6.800477e-02 8.926504e-05
50000 5 3.817971e-02 7.828307e-05
50000 8 2.692464e-02 3.725469e-05
50000 20 7.884767e-03 2.054333e-05
50000 30 6.409854e-03 6.188840e-06
50000 60 7.569385e-03 1.838232e-05
50000 135 3.376312e-02 2.084215e-04
100000 5 3.790611e-02 9.419504e-05
100000 8 2.638820e-02 7.930241e-05
100000 20 6.963635e-03 2.256297e-05
100000 30 4.610462e-03 7.182005e-06
100000 60 3.568562e-03 1.114539e-05
100000 135 6.154377e-03 7.072247e-06
300000 5 3.760757e-02 7.861732e-05
300000 8 2.604929e-02 8.282090e-05
300000 20 6.479542e-03 1.712586e-05
300000 30 3.989394e-03 1.717813e-05
300000 60 2.816147e-03 1.145745e-05
300000 135 2.841120e-03 6.055375e-06
600000 5 3.752039e-02 1.372575e-04
600000 8 2.589660e-02 4.162649e-05
600000 20 6.392450e-03 2.120720e-05
600000 30 3.874594e-03 1.314125e-05
600000 60 2.750552e-03 5.188738e-06
600000 135 2.749005e-03 8.928805e-06
