# m J error_mean error_std duality_gap
1000 5 5.948267e-01 1.957516e-03 3.170967e-05
1000 8 6.276941e-01 1.951537e-03 2.198219e-04
1000 20 6.050537e-01 1.932820e-03 7.534027e-05
1000 30 6.209238e-01 1.205134e-03 2.950430e-05
1000 60 5.972275e-01 9.836700e-04 1.879930e-04
1000 135 5.970515e-01 2.026838e-03 1.669526e-04
5000 5 2.651959e-01 2.408884e-03 7.504225e-05
5000 8 1.821099e-01 2.091093e-03 8.332729e-05
5000 20 1.901056e-01 1.289444e-03 1.943111e-05
5000 30 2.750008e-01 1.515803e-03 7.534027e-05
5000 60 1.505640e-01 5.812689e-04 7.694960e-05
5000 135 1.993219e-01 1.979353e-03 8.165836e-05
10000 5 1.159763e-01 6.956977e-04 1.114607e-05
10000 8 1.340255e-01 7.165664e-04 2.810359e-05
10000 20 1.020521e-01 7.239679e-04 6.400347e-04
10000 30 1.263512e-01 1.320693e-03 1.078844e-05
10000 60 1.103398e-01 1.261801e-03 2.890825e-05
10000 135 1.214926e-01 6.832771e-04 8.106232e-05
20000 5 9.390729e-02 6.534276e-04 1.914501e-04
20000 8 8.720444e-02 5.993720e-04 8.046627e-05
20000 20 8.934140e-02 8.056990e-04 2.111495e-04
20000 30 1.037366e-01 8.599771e-04 7.641315e-05
20000 60 9.878719e-02 5.766495e-04 2.138913e-04
20000 135 9.695652e-02 6.179768e-04 2.914667e-05
50000 5 6.905145e-02 4.686241e-04 2.817810e-05
50000 8 6.443488e-02 3.380069e-04 2.789497e-05
50000 20 6.270264e-02 5.834346e-04 7.742643e-05
50000 30 6.330231e-02 6.913291e-04 1.078844e-05
50000 60 6.494125e-02 6.151380e-04 1.092255e-05
50000 135 6.120462e-02 6.072799e-04 8.080900e-05
100000 5 6.221964e-02 4.101131e-04 2.807379e-05
100000 8 4.310767e-02 4.341028e-04 2.078712e-04
100000 20 3.367789e-02 3.312378e-04 2.972782e-05
100000 30 3.468411e-02 4.365523e-04 2.829731e-05
100000 60 3.560736e-02 2.963545e-04 4.508346e-04
100000 135 3.605884e-02 3.120375e-04 8.238852e-05
300000 5 5.181600e-02 3.311142e-04 7.236004e-05
300000 8 3.016401e-02 2.054260e-04 4.499853e-04
300000 20 1.312572e-02 9.877180e-05 1.671389e-04
300000 30 1.273255e-02 9.253245e-05 6.853044e-05
300000 60 1.319887e-02 1.626658e-04 1.818240e-04
300000 135 1.283741e-02 1.537003e-04 2.771616e-05
600000 5 4.980084e-02 1.312010e-04 2.876669e-05
600000 8 2.812864e-02 1.862866e-04 1.076907e-04
600000 20 9.819383e-03 8.352624e-05 1.306534e-04
600000 30 8.721000e-03 2.229365e-04 1.081079e-05
600000 60 8.195441e-03 8.745755e-05 2.782047e-05
600000 135 8.626148e-03 5.167782e-05 8.153915e-05
