# m J error
1000 5 2.585433e-01
1000 10 3.228519e-01
1000 20 4.345447e-01
1000 30 4.648070e-01
1000 50 5.312108e-01
1000 100 6.023722e-01
5000 5 8.132455e-02
5000 10 7.180624e-02
5000 20 9.252513e-02
5000 30 1.067043e-01
5000 50 1.215957e-01
5000 100 1.614057e-01
10000 5 6.316293e-02
10000 10 4.349499e-02
10000 20 4.692071e-02
10000 30 5.266819e-02
10000 50 6.244104e-02
10000 100 7.376538e-02
50000 5 4.632721e-02
50000 10 2.314697e-02
50000 20 1.315696e-02
50000 30 1.104289e-02
50000 50 1.178815e-02
50000 100 1.530734e-02
100000 5 4.256251e-02
100000 10 2.009860e-02
100000 20 9.985524e-03
100000 30 7.296668e-03
100000 50 5.991506e-03
100000 100 7.143378e-03
300000 5 3.906508e-02
300000 10 1.737184e-02
300000 20 7.820659e-03
300000 30 5.075931e-03
300000 50 3.217966e-03
300000 100 2.193618e-03
600000 5 3.776569e-02
600000 10 1.630393e-02
600000 20 7.100524e-03
600000 30 4.439095e-03
600000 50 2.622970e-03
600000 100 1.412723e-03
