# m J error duality_gap
1000 5 2.509520e-01 3.443360e-04
1000 8 3.046727e-01 1.590729e-03
1000 20 5.305626e-01 1.352632e-02
1000 30 6.284408e-01 2.736586e-02
1000 60 6.646836e-01 1.356304e-01
5000 5 3.801869e-02 1.196563e-04
5000 8 3.568042e-02 3.146529e-04
5000 20 3.727093e-02 4.793108e-04
5000 30 3.352697e-02 2.060652e-03
5000 60 6.394081e-02 4.277050e-03
10000 5 2.959236e-02 2.928078e-04
10000 8 2.137394e-02 1.246333e-04
10000 20 1.131407e-02 2.195388e-04
10000 30 9.722579e-03 1.024544e-03
10000 60 1.247193e-02 3.596514e-03
50000 5 2.275601e-02 3.939122e-05
50000 8 1.563097e-02 3.650039e-05
50000 20 4.772291e-03 6.461889e-05
50000 30 2.975616e-03 1.206025e-04
50000 60 1.478509e-03 1.289919e-04
100000 5 2.097984e-02 1.154616e-04
100000 8 1.406535e-02 1.023337e-04
100000 20 4.096622e-03 1.219586e-04
100000 30 2.401967e-03 1.694113e-04
100000 60 1.075520e-03 1.584888e-04
300000 5 1.963496e-02 7.888675e-05
300000 8 1.257421e-02 4.557520e-05
300000 20 3.623807e-03 9.310246e-05
300000 30 2.078943e-03 6.841868e-05
300000 60 8.357765e-04 9.541214e-05
600000 5 1.875549e-02 1.079068e-04
600000 8 1.217165e-02 9.239838e-05
600000 20 3.433015e-03 4.155189e-05
600000 30 1.942548e-03 3.831834e-05
600000 60 7.536755e-04 1.300052e-04
