# m J error_mean error_std duality_gap
1000 5 1.526862e-01 5.210336e-04 3.615618e-04
1000 8 1.933012e-01 4.799234e-04 1.286864e-04
1000 20 2.890762e-01 1.289201e-03 2.828240e-05
1000 30 2.818732e-01 5.732826e-04 9.036064e-05
1000 60 3.647934e-01 1.361696e-03 7.779896e-05
1000 135 3.764407e-01 2.367968e-03 1.814514e-04
5000 5 5.593123e-02 1.445690e-04 1.169592e-04
5000 8 4.789060e-02 1.461892e-04 1.636147e-05
5000 20 6.746931e-02 2.164896e-04 4.394352e-05
5000 30 9.454643e-02 3.036735e-04 2.457201e-05
5000 60 1.198471e-01 4.205920e-04 1.753867e-05
5000 135 1.461636e-01 4.809856e-04 3.649294e-05
10000 5 4.463767e-02 1.284884e-04 8.510053e-05
10000 8 3.615519e-02 1.490114e-04 1.127720e-04
10000 20 3.139932e-02 1.003889e-04 4.339218e-05
10000 30 3.494600e-02 7.385944e-05 1.785159e-05
10000 60 5.397296e-02 1.925678e-04 2.145767e-05
10000 135 7.691265e-02 3.599839e-04 3.211200e-05
20000 5 4.017201e-02 8.270179e-05 2.206862e-04
20000 8 3.000014e-02 5.007882e-05 1.075119e-04
20000 20 1.447273e-02 6.367918e-05 4.724413e-05
20000 30 1.966609e-02 1.530374e-04 4.357845e-05
20000 60 2.756473e-02 1.197757e-04 3.237277e-05
20000 135 3.932193e-02 1.731470e-04 4.779547e-05
50000 5 3.856021e-02 1.066948e-04 2.807155e-04
50000 8 2.742427e-02 7.947089e-05 1.074076e-04
50000 20 8.666819e-03 4.551965e-05 1.633912e-05
50000 30 6.873483e-03 2.217029e-05 4.465133e-05
50000 60 8.025111e-03 4.837535e-05 1.666695e-05
50000 135 1.469007e-02 7.735077e-05 1.586974e-05
100000 5 3.802148e-02 1.125583e-04 3.515184e-05
100000 8 2.667359e-02 4.845371e-05 8.241832e-05
100000 20 7.369322e-03 3.684639e-05 4.088879e-05
100000 30 5.038864e-03 1.893352e-05 4.483387e-05
100000 60 3.672943e-03 2.261231e-05 1.569092e-05
100000 135 5.243138e-03 1.484390e-05 1.667067e-05
300000 5 3.765253e-02 6.988439e-05 1.088791e-04
300000 8 2.612545e-02 6.544278e-05 1.392514e-05
300000 20 6.622656e-03 1.842370e-05 1.178682e-05
300000 30 4.125612e-03 1.465432e-05 1.284294e-05
300000 60 1.917389e-03 1.380508e-05 1.412816e-05
300000 135 1.272712e-03 6.833914e-06 1.618639e-05
600000 5 3.757272e-02 4.717989e-05 5.587935e-06
600000 8 2.594148e-02 5.914852e-05 1.501292e-05
600000 20 6.449983e-03 2.940408e-05 8.266419e-06
600000 30 3.942076e-03 1.584115e-05 1.528673e-05
600000 60 1.634860e-03 6.059517e-06 1.678430e-05
600000 135 7.687702e-04 5.041482e-06 1.619197e-05
