# m J error_mean error_std
1000 5 3.996439e-01 9.239614e-04
1000 8 1.189666e-01 5.817667e-04
1000 20 1.316416e-01 1.012673e-03
1000 30 1.510872e-01 8.827449e-04
1000 60 1.487752e-01 6.864175e-04
1000 135 1.459698e-01 4.949958e-04
5000 5 5.811618e-02 2.245595e-04
5000 8 4.784664e-02 6.557689e-05
5000 20 4.843984e-02 1.885555e-04
5000 30 6.323801e-02 5.089013e-04
5000 60 7.775506e-02 1.842487e-04
5000 135 8.606712e-02 2.572662e-04
10000 5 5.305465e-02 2.676727e-04
10000 8 3.369120e-02 7.481850e-05
10000 20 2.591881e-02 2.509243e-05
10000 30 2.130781e-02 1.418570e-04
10000 60 2.590246e-02 1.289125e-04
10000 135 3.939732e-02 2.478870e-04
20000 5 5.065080e-02 1.736318e-04
20000 8 2.968362e-02 8.283692e-05
20000 20 1.308882e-02 2.332213e-05
20000 30 1.612543e-02 3.186900e-05
20000 60 1.331195e-02 4.865622e-05
20000 135 1.544718e-02 6.257869e-05
50000 5 4.908012e-02 2.353928e-04
50000 8 2.719126e-02 4.965566e-05
50000 20 8.266045e-03 2.477775e-05
50000 30 6.663962e-03 2.397507e-05
50000 60 5.438340e-03 3.605629e-05
50000 135 7.904397e-03 3.504513e-05
100000 5 4.863708e-02 9.005910e-05
100000 8 2.654747e-02 7.124365e-05
100000 20 7.528030e-03 2.378442e-05
100000 30 5.394808e-03 2.634389e-05
100000 60 3.197718e-03 8.501188e-06
100000 135 3.579001e-03 2.398381e-05
300000 5 4.816753e-02 1.393336e-04
300000 8 2.608960e-02 9.051011e-05
300000 20 6.920461e-03 3.790233e-05
300000 30 4.558035e-03 1.201685e-05
300000 60 2.339537e-03 1.183787e-05
300000 135 2.020387e-03 9.370277e-06
600000 5 4.793766e-02 9.542548e-05
600000 8 2.595326e-02 5.773440e-05
600000 20 6.789391e-03 2.640805e-05
600000 30 4.383345e-03 2.664622e-05
600000 60 2.192605e-03 1.080019e-05
600000 135 1.905579e-03 1.177523e-05
