# m J error
1000 5 1.644833e-01
1000 10 1.593776e-01
1000 20 1.749750e-01
1000 30 1.876149e-01
1000 50 2.393024e-01
1000 100 2.208258e-01
5000 5 2.231965e-02
5000 10 9.368993e-03
5000 20 1.223549e-02
5000 30 1.484862e-02
5000 50 1.779924e-02
5000 100 2.369916e-02
10000 5 1.925366e-02
10000 10 4.998595e-03
10000 20 5.468836e-03
10000 30 3.186748e-03
10000 50 3.686259e-03
10000 100 5.174708e-03
50000 5 1.546376e-02
50000 10 3.181723e-03
50000 20 1.237011e-03
50000 30 5.007693e-04
50000 50 2.445441e-04
50000 100 2.179169e-04
100000 5 1.474372e-02
100000 10 2.919477e-03
100000 20 1.054071e-03
100000 30 3.678447e-04
100000 50 1.810685e-04
100000 100 1.439915e-04
200000 5 1.465821e-02
200000 10 2.762244e-03
200000 20 9.450499e-04
200000 30 3.171298e-04
200000 50 1.609151e-04
200000 100 1.270881e-04
