# m J error_mean error_std
1000 5 3.761300e-01 3.893783e-04
1000 8 2.516205e-01 4.597933e-04
1000 20 3.110080e-01 3.328124e-04
1000 30 2.926709e-01 5.264505e-04
1000 60 2.919786e-01 5.343344e-04
1000 135 3.158162e-01 2.507574e-04
5000 5 4.489648e-02 1.314001e-04
5000 8 4.650956e-02 4.280672e-05
5000 20 6.047012e-02 1.209765e-04
5000 30 7.444958e-02 1.118020e-04
5000 60 1.109268e-01 1.733574e-04
5000 135 1.555380e-01 1.577098e-04
10000 5 4.056976e-02 1.374255e-04
10000 8 3.420040e-02 1.313926e-04
10000 20 3.695262e-02 7.153660e-05
10000 30 3.959191e-02 7.566559e-05
10000 60 4.635401e-02 7.825452e-05
10000 135 5.304627e-02 5.841691e-05
20000 5 3.916730e-02 1.314869e-04
20000 8 2.932587e-02 4.380322e-05
20000 20 1.287567e-02 3.456848e-05
20000 30 2.153062e-02 3.410450e-05
20000 60 2.769170e-02 2.805402e-05
20000 135 3.480906e-02 6.459446e-05
50000 5 3.821311e-02 6.693636e-05
50000 8 2.695972e-02 5.565389e-05
50000 20 7.886058e-03 2.526625e-05
50000 30 6.053453e-03 9.829152e-06
50000 60 6.791610e-03 1.052721e-05
50000 135 1.009466e-02 9.959321e-06
100000 5 3.780129e-02 9.064138e-05
100000 8 2.642822e-02 7.199253e-05
100000 20 6.886719e-03 2.902633e-05
100000 30 4.652239e-03 9.975479e-06
100000 60 4.003428e-03 1.107032e-05
100000 135 4.794936e-03 6.919648e-06
300000 5 3.756946e-02 9.336021e-05
300000 8 2.602857e-02 4.138466e-05
300000 20 6.499990e-03 2.486780e-05
300000 30 4.003180e-03 7.934290e-06
300000 60 3.006566e-03 7.763457e-06
300000 135 3.010898e-03 1.043212e-05
600000 5 3.753788e-02 9.429266e-05
600000 8 2.588309e-02 5.470999e-05
600000 20 6.392923e-03 1.552909e-05
600000 30 3.878266e-03 9.612575e-06
600000 60 2.831159e-03 5.433126e-06
600000 135 2.836656e-03 8.008176e-06
